epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62449,1.80476,4.07819,1.23624,0.02325,0.61024,0.15126,0.08673,1.07634,3.96935,0.91719,0.000190842,0.000190842,0.000190842
2,11.7359,1.43501,2.49716,1.01401,0.74314,0.23789,0.42093,0.29856,1.05806,2.56068,0.94415,0.000379183,0.000379183,0.000379183
3,16.4785,1.31757,1.77666,0.98094,0.49698,0.61824,0.51548,0.34876,1.04017,1.69415,0.93973,0.000559762,0.000559762,0.000559762
4,21.252,1.26471,1.47628,0.96991,0.59579,0.65596,0.67882,0.46788,1.01882,1.36362,0.92751,0.000553073,0.000553073,0.000553073
5,25.9649,1.19964,1.27166,0.95327,0.68663,0.76224,0.80062,0.60047,0.94033,1.01548,0.91064,0.00054143,0.00054143,0.00054143
6,30.4565,1.1814,1.20198,0.94881,0.83153,0.72759,0.85679,0.63999,0.92349,1.08731,0.9082,0.000529788,0.000529788,0.000529788
7,35.0377,1.14838,1.07859,0.94324,0.82416,0.82,0.90897,0.65496,1.0168,0.93351,0.9188,0.000518146,0.000518146,0.000518146
8,39.7176,1.12107,1.01195,0.93973,0.92408,0.90692,0.96404,0.73344,0.90323,0.82626,0.89789,0.000506503,0.000506503,0.000506503
9,44.6393,1.14662,0.96785,0.94907,0.94149,0.91904,0.96988,0.71909,0.96672,0.69699,0.90862,0.000494861,0.000494861,0.000494861
10,49.555,1.10605,0.89535,0.93715,0.90188,0.92048,0.96436,0.73649,0.86611,0.72733,0.89466,0.000483218,0.000483218,0.000483218
11,54.4647,1.0774,0.87198,0.92922,0.94362,0.93059,0.97457,0.74453,0.89828,0.67948,0.89824,0.000471576,0.000471576,0.000471576
12,59.0141,1.08021,0.84992,0.92795,0.95247,0.95829,0.98094,0.73331,0.94851,0.64196,0.90496,0.000459934,0.000459934,0.000459934
13,63.6313,1.0962,0.82714,0.93618,0.9556,0.95934,0.9803,0.75693,0.85899,0.59226,0.897,0.000448291,0.000448291,0.000448291
14,68.2915,1.05475,0.78542,0.92511,0.96521,0.9631,0.97739,0.75568,0.845,0.59648,0.89203,0.000436649,0.000436649,0.000436649
15,72.5219,1.05198,0.77286,0.93474,0.96218,0.95356,0.98179,0.75421,0.86699,0.61081,0.89295,0.000425006,0.000425006,0.000425006
16,76.7001,1.02509,0.74184,0.92257,0.95937,0.95024,0.97674,0.76946,0.85062,0.57657,0.88887,0.000413364,0.000413364,0.000413364
17,80.3164,1.01157,0.73417,0.91826,0.97618,0.95754,0.98125,0.76947,0.8332,0.55759,0.89055,0.000401722,0.000401722,0.000401722
18,83.9094,1.00031,0.71593,0.91711,0.97905,0.95502,0.98325,0.75477,0.88906,0.55954,0.89706,0.000390079,0.000390079,0.000390079
19,87.5735,0.96603,0.71658,0.91555,0.96428,0.97321,0.98547,0.76737,0.83931,0.53222,0.88869,0.000378437,0.000378437,0.000378437
20,91.5524,0.97653,0.70331,0.91518,0.97348,0.97382,0.98662,0.76558,0.85081,0.53672,0.89708,0.000366794,0.000366794,0.000366794
21,95.5098,0.98731,0.70545,0.91786,0.97847,0.97698,0.98577,0.7447,0.91875,0.54015,0.89946,0.000355152,0.000355152,0.000355152
