epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2155,1.78858,4.06062,1.20921,0.0295,0.72446,0.19854,0.12718,1.1127,4.03835,0.92404,0.000190842,0.000190842,0.000190842
2,126.182,1.43475,2.45557,1.00108,0.70923,0.24659,0.39732,0.26472,1.13195,2.63493,0.96429,0.000379183,0.000379183,0.000379183
3,186.076,1.37552,1.75871,1.00045,0.52296,0.46265,0.48775,0.35489,1.01783,1.72924,0.94012,0.000559762,0.000559762,0.000559762
4,245.777,1.31641,1.57501,0.98287,0.49236,0.59685,0.55842,0.37115,1.12493,1.51006,0.94722,0.000553073,0.000553073,0.000553073
5,306.115,1.23007,1.36434,0.96273,0.63458,0.73191,0.7512,0.50233,1.05973,1.2453,0.92458,0.00054143,0.00054143,0.00054143
6,366.929,1.22225,1.20435,0.96084,0.7491,0.80479,0.83174,0.58676,1.02589,1.24787,0.9156,0.000529788,0.000529788,0.000529788
7,426.15,1.17828,1.10013,0.95443,0.84368,0.80619,0.88774,0.5662,1.19951,1.04814,0.95225,0.000518146,0.000518146,0.000518146
8,469.763,1.1735,1.0393,0.94174,0.89941,0.92053,0.96629,0.71169,0.96191,0.81505,0.90369,0.000506503,0.000506503,0.000506503
9,509.557,1.15975,0.97824,0.94664,0.83169,0.87534,0.95593,0.71301,0.94297,0.88482,0.91502,0.000494861,0.000494861,0.000494861
10,552.579,1.13823,0.94551,0.93862,0.89705,0.89549,0.94532,0.66081,1.08801,0.8451,0.93006,0.000483218,0.000483218,0.000483218
11,597.092,1.13069,0.92085,0.93157,0.91979,0.92639,0.96051,0.69824,1.00813,0.79163,0.91188,0.000471576,0.000471576,0.000471576
12,650.139,1.08575,0.88409,0.93105,0.9385,0.91392,0.97017,0.7312,0.93753,0.78368,0.90972,0.000459934,0.000459934,0.000459934
13,698.606,1.05543,0.83044,0.92918,0.94042,0.94911,0.97195,0.75016,0.85791,0.68342,0.89558,0.000448291,0.000448291,0.000448291
14,749.554,1.04622,0.81775,0.93049,0.94657,0.94923,0.97471,0.74511,0.90495,0.70442,0.90833,0.000436649,0.000436649,0.000436649
15,799.254,1.0403,0.79245,0.92062,0.91013,0.95189,0.96936,0.74115,0.85945,0.68958,0.89436,0.000425006,0.000425006,0.000425006
16,847.7,1.02304,0.7644,0.92569,0.95578,0.95625,0.97178,0.75066,0.86174,0.63901,0.89251,0.000413364,0.000413364,0.000413364
17,895.029,0.99681,0.73874,0.91075,0.95995,0.96993,0.97929,0.75053,0.87272,0.64354,0.89043,0.000401722,0.000401722,0.000401722
18,943.991,1.00723,0.72472,0.92482,0.94028,0.96649,0.97715,0.75491,0.85102,0.618,0.89098,0.000390079,0.000390079,0.000390079
19,988.345,1.0045,0.72974,0.91557,0.94191,0.95453,0.98022,0.74091,0.90231,0.63136,0.89923,0.000378437,0.000378437,0.000378437
20,1034.4,0.96566,0.68507,0.91148,0.95827,0.96679,0.97781,0.76526,0.8393,0.59965,0.88834,0.000366794,0.000366794,0.000366794
21,1078.41,0.96639,0.6858,0.90521,0.95534,0.9564,0.97905,0.76065,0.83397,0.59111,0.89213,0.000355152,0.000355152,0.000355152
