epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4496,1.02788,0.70607,1.07543,0.97219,0.99301,0.9896,0.78229,0.83856,0.45059,0.94934,0.000193421,0.000193421,0.000193421
2,24.9285,1.02391,0.70357,1.07761,0.97063,0.99301,0.98737,0.75417,0.90697,0.47067,0.97311,0.000384281,0.000384281,0.000384281
3,36.3605,1.01744,0.69438,1.08447,0.9873,0.9893,0.98508,0.73852,0.95706,0.47655,0.98519,0.000569966,0.000569966,0.000569966
4,47.9761,1.00756,0.67464,1.07124,0.97567,0.98188,0.98276,0.75399,0.87059,0.47675,0.9628,0.000564715,0.000564715,0.000564715
5,59.6651,1.01991,0.66468,1.07209,0.97798,0.98339,0.98673,0.69797,1.06801,0.48817,1.02204,0.000556954,0.000556954,0.000556954
6,71.3653,1.0124,0.66733,1.07509,0.98354,0.98993,0.9853,0.76119,0.88441,0.46029,0.96846,0.000549192,0.000549192,0.000549192
7,82.7738,0.99981,0.62454,1.07478,0.9773,0.98214,0.99064,0.75555,0.89465,0.46567,0.96729,0.00054143,0.00054143,0.00054143
8,91.5907,0.99866,0.63171,1.07941,0.97735,0.99158,0.98921,0.725,0.98841,0.46177,1.00482,0.000533669,0.000533669,0.000533669
9,100.239,0.99411,0.61341,1.06801,0.97218,0.99175,0.98913,0.76636,0.8668,0.4339,0.96609,0.000525907,0.000525907,0.000525907
10,108.912,0.96922,0.59329,1.05884,0.97628,0.98796,0.98661,0.76,0.8694,0.44212,0.96169,0.000518146,0.000518146,0.000518146
11,117.682,0.98405,0.59916,1.06438,0.97379,0.98877,0.98499,0.74001,0.92247,0.45016,0.97871,0.000510384,0.000510384,0.000510384
12,126.443,1.0031,0.60045,1.07475,0.98473,0.98734,0.98503,0.77689,0.83052,0.44152,0.9536,0.000502622,0.000502622,0.000502622
13,135.149,1.00695,0.59689,1.07017,0.98033,0.99003,0.98513,0.76786,0.8547,0.43565,0.96288,0.000494861,0.000494861,0.000494861
14,143.943,0.98999,0.58643,1.07164,0.97689,0.98826,0.98514,0.73436,0.97593,0.45122,0.98744,0.000487099,0.000487099,0.000487099
15,152.769,0.97847,0.57409,1.06217,0.98506,0.97781,0.98686,0.77824,0.81909,0.42504,0.9523,0.000479338,0.000479338,0.000479338
16,161.626,0.95209,0.56007,1.05179,0.98367,0.9865,0.98797,0.73713,0.94844,0.4343,0.97659,0.000471576,0.000471576,0.000471576
17,170.456,0.95949,0.56683,1.05832,0.98487,0.99192,0.9863,0.77144,0.83921,0.41398,0.958,0.000463814,0.000463814,0.000463814
18,179.281,0.94355,0.54153,1.04768,0.9825,0.99131,0.98457,0.74408,0.92789,0.43114,0.97294,0.000456053,0.000456053,0.000456053
19,188.147,0.95555,0.55079,1.04676,0.98153,0.98015,0.98587,0.77533,0.82405,0.4225,0.95553,0.000448291,0.000448291,0.000448291
20,197.045,0.94116,0.54985,1.03833,0.96571,0.99279,0.98625,0.75888,0.86131,0.4074,0.95687,0.00044053,0.00044053,0.00044053
21,205.912,0.9565,0.54267,1.05221,0.98574,0.99301,0.98574,0.76928,0.86669,0.40915,0.96231,0.000432768,0.000432768,0.000432768
22,214.796,0.93741,0.53058,1.04217,0.97672,0.99172,0.98378,0.76667,0.84176,0.4029,0.95687,0.000425006,0.000425006,0.000425006
23,223.613,0.94238,0.53397,1.05459,0.98208,0.98747,0.98624,0.72844,0.96719,0.43216,0.98682,0.000417245,0.000417245,0.000417245
24,232.518,0.91978,0.52791,1.03131,0.98219,0.98398,0.987,0.75631,0.88468,0.41461,0.96924,0.000409483,0.000409483,0.000409483
25,241.584,0.91465,0.51619,1.04,0.9777,0.99125,0.98625,0.7363,0.92645,0.40755,0.97854,0.000401722,0.000401722,0.000401722
26,250.547,0.92319,0.51188,1.03845,0.98165,0.99255,0.98643,0.7521,0.89649,0.40047,0.96998,0.00039396,0.00039396,0.00039396
27,259.429,0.90481,0.50285,1.03438,0.98149,0.98675,0.98582,0.76995,0.83785,0.39277,0.96084,0.000386198,0.000386198,0.000386198
28,268.372,0.89966,0.50083,1.02795,0.97908,0.99301,0.98835,0.7492,0.90958,0.4009,0.97184,0.000378437,0.000378437,0.000378437
29,277.425,0.88342,0.49281,1.02791,0.9722,0.9878,0.98575,0.74485,0.92578,0.40728,0.97679,0.000370675,0.000370675,0.000370675
30,286.488,0.92025,0.49143,1.03791,0.9679,0.98983,0.9826,0.76016,0.87477,0.40176,0.96325,0.000362914,0.000362914,0.000362914
31,295.485,0.9161,0.4892,1.03328,0.98469,0.98776,0.9873,0.77635,0.82876,0.38931,0.94874,0.000355152,0.000355152,0.000355152
