epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38837,1.63716,3.65809,1.29709,0.02971,0.88176,0.24619,0.14506,1.29001,3.57315,0.95861,0.000190842,0.000190842,0.000190842
2,14.1042,1.37359,2.12572,1.10448,0.70259,0.26937,0.51904,0.34788,1.17349,2.51921,0.95615,0.000383012,0.000383012,0.000383012
3,20.6074,1.30281,1.52057,1.08938,0.56661,0.64409,0.69778,0.47314,1.13015,1.72356,0.95368,0.000571302,0.000571302,0.000571302
4,27.1572,1.23216,1.33323,1.07412,0.66533,0.82296,0.86609,0.55418,1.24913,1.35516,0.9843,0.000570536,0.000570536,0.000570536
5,33.8872,1.22935,1.1758,1.05199,0.90416,0.85753,0.95677,0.63899,1.11592,0.8327,0.95432,0.000564715,0.000564715,0.000564715
6,40.3887,1.17796,1.0607,1.04211,0.90569,0.89048,0.95966,0.66418,1.08664,0.86576,0.94901,0.000558894,0.000558894,0.000558894
7,47.0918,1.15481,0.95071,1.0372,0.96274,0.95857,0.9859,0.66861,1.16183,0.67885,0.96156,0.000553073,0.000553073,0.000553073
8,53.6734,1.126,0.92152,1.02646,0.83345,0.92069,0.94491,0.6722,1.01044,0.8572,0.93215,0.000547252,0.000547252,0.000547252
9,60.3539,1.10835,0.88286,1.02432,0.96931,0.96862,0.9815,0.73406,0.93816,0.59428,0.91741,0.00054143,0.00054143,0.00054143
10,67.1823,1.10328,0.82232,1.0158,0.97906,0.98019,0.98596,0.73665,0.9352,0.5606,0.91731,0.000535609,0.000535609,0.000535609
11,73.8912,1.09853,0.81623,1.02145,0.96114,0.98379,0.98645,0.74928,0.89379,0.56583,0.92199,0.000529788,0.000529788,0.000529788
12,80.5047,1.08309,0.80296,1.01373,0.94199,0.95411,0.97952,0.74906,0.88486,0.59162,0.91009,0.000523967,0.000523967,0.000523967
13,87.0878,1.09146,0.78805,1.02137,0.96697,0.95919,0.98694,0.75066,0.87242,0.55768,0.92533,0.000518146,0.000518146,0.000518146
14,93.8359,1.08216,0.75582,1.00971,0.96657,0.98345,0.98882,0.72713,0.9496,0.51385,0.91717,0.000512324,0.000512324,0.000512324
15,100.636,1.06243,0.75497,1.01033,0.97955,0.9862,0.98705,0.75493,0.88287,0.52573,0.90867,0.000506503,0.000506503,0.000506503
16,107.37,1.06499,0.72326,1.00238,0.97247,0.98849,0.98534,0.76004,0.84129,0.48571,0.89877,0.000500682,0.000500682,0.000500682
17,114.136,1.05286,0.71693,1.00851,0.98343,0.98409,0.98466,0.69749,1.01977,0.51449,0.92842,0.000494861,0.000494861,0.000494861
18,120.724,1.05882,0.70952,0.99987,0.98371,0.98229,0.98921,0.72484,0.9817,0.49375,0.92597,0.00048904,0.00048904,0.00048904
19,127.379,1.03579,0.69344,1.0012,0.97911,0.97862,0.98433,0.74676,0.9206,0.49765,0.91447,0.000483218,0.000483218,0.000483218
20,134.019,1.03521,0.68831,0.99471,0.97615,0.98716,0.99111,0.72932,0.98955,0.48364,0.94388,0.000477397,0.000477397,0.000477397
21,140.737,1.03788,0.68488,1.00928,0.98244,0.9895,0.9874,0.77639,0.84807,0.47169,0.90435,0.000471576,0.000471576,0.000471576
22,147.4,1.02645,0.6689,0.99652,0.97672,0.99108,0.98638,0.77355,0.81763,0.45166,0.89671,0.000465755,0.000465755,0.000465755
23,154.424,1.0258,0.68131,0.99452,0.98279,0.99102,0.98764,0.71509,1.02607,0.47854,0.9329,0.000459934,0.000459934,0.000459934
24,161.253,1.02802,0.65434,0.99404,0.98286,0.98921,0.98932,0.78916,0.81893,0.43502,0.90061,0.000454112,0.000454112,0.000454112
25,167.968,1.01687,0.6479,0.99426,0.97563,0.98843,0.99079,0.70784,1.05453,0.47654,0.94194,0.000448291,0.000448291,0.000448291
26,174.776,0.9941,0.62766,0.98339,0.98542,0.97797,0.98898,0.75411,0.91699,0.45242,0.9107,0.00044247,0.00044247,0.00044247
